,Names,Prices,Links
21,EVOFOX Deathray TKL RGB Silent Membrane Wired USB Tenke...,799,flipkart.com/evofox-deathray-tkl-rgb-silent-membrane-wired-usb-tenkeyless-gaming-keyboard-compatible-desktop-laptop-mac-stand-support-multimedia-keys-deathray/p/itme961216dbd46e?pid=ACCGR7WFJ8V2YY6X&lid=LSTACCGR7WFJ8V2YY6XA5ARXX&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_21&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCGR7WFJ8V2YY6X.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
22,Aula F2023 Combo Wired USB Standard Gaming Keyboard Com...,899,flipkart.com/aula-f2023-combo-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-easy-use-plug-play-quick-comfy-durable-body/p/itm22b750a81b3e5?pid=CASGQQ5ZJVXYVBYV&lid=LSTCASGQQ5ZJVXYVBYVD5IAPY&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_22&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.CASGQQ5ZJVXYVBYV.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
23,"HP K500F / 26 Anti-ghosting keys, Metal Panel, Rainbow ...",1199,flipkart.com/hp-k500f-26-anti-ghosting-keys-metal-panel-rainbow-backlight-membrane-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-easy-use-plug-play-quick-comfy-durable-body/p/itm3eabcb95e9a30?pid=ACCFZPFERYJN8ZY5&lid=LSTACCFZPFERYJN8ZY5SMTSX7&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_23&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCFZPFERYJN8ZY5.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
24,zebion Sensei Gaming Keyboard Mouse Combo Wired USB Sta...,759,flipkart.com/zebion-sensei-gaming-keyboard-mouse-combo-wired-usb-standard-compatible-desktop-laptop-mac-multimedia-keys/p/itmb4898377824a0?pid=ACCGW5SUATKV3WSD&lid=LSTACCGW5SUATKV3WSDWRCIF7&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_24&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCGW5SUATKV3WSD.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
25,EVOFOX Fireblade LED Backlit Wired USB Standard Gaming ...,899,flipkart.com/evofox-fireblade-led-backlit-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-mode-stand-support-multimedia-keys-fireblade/p/itm77f90036ddeb4?pid=ACCFS66EEDXYNYVW&lid=LSTACCFS66EEDXYNYVW6TZXSN&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_25&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCFS66EEDXYNYVW.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
26,DWH F6 Wired USB Standard Gaming Keyboard Compatible wi...,861,flipkart.com/dwh-f6-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-multimedia-keys-dwh-single-hand-rgb-semi-mechanical/p/itm37c7b0b7f61da?pid=ACCH2KT9ZV4YP96Y&lid=LSTACCH2KT9ZV4YP96Y4LRGM3&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_26&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCH2KT9ZV4YP96Y.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
27,Aula S2022 Mechanical Wired USB Standard Gaming Keyboar...,1529,flipkart.com/aula-s2022-mechanical-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-stand-support-s2022/p/itmd63c80c217762?pid=ACCGM5NUEMJFHEHH&lid=LSTACCGM5NUEMJFHEHH77PJGG&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_27&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCGM5NUEMJFHEHH.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
28,ZEBRONICS Optimus Gaming Keyboard Mouse Combo Wired USB...,1205,flipkart.com/zebronics-optimus-gaming-keyboard-mouse-combo-wired-usb-standard-compatible-desktop-laptop-mac-stand-support-multimedia-keys-optimus/p/itm3247a00dcd04a?pid=ACCGWZZJTVZSP2JG&lid=LSTACCGWZZJTVZSP2JGYVZ7MR&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_28&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCGWZZJTVZSP2JG.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
29,ZEBRONICS Transformer Pro Wireless Standard Multi-devic...,1599,flipkart.com/zebronics-transformer-pro-wireless-standard-multi-device-keyboard-compatible-desktop-laptop-mac-gaming-mouse-2-4ghz-4000-dpi-led-modes-type-c-al-body/p/itm726061d7eaf48?pid=ACCH2ZPYTN27A2GY&lid=LSTACCH2ZPYTN27A2GYDLLDE8&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_29&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCH2ZPYTN27A2GY.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
30,Aula T102 Wired USB Standard Gaming Keyboard Compatible...,1499,flipkart.com/aula-t102-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-rgb-backlit-7200-dpi-6-buttons-mouse/p/itm44223a3dcc848?pid=CASGQPFCQUXYZTWT&lid=LSTCASGQPFCQUXYZTWT0A1FRB&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_30&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.CASGQPFCQUXYZTWT.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
31,HP GK400Y Mechanical Wired USB Standard Gaming Keyboard...,2795,flipkart.com/hp-gk400y-mechanical-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-easy-use-plug-play-quick-comfy-durable-body/p/itm295b784a34cb3?pid=ACCH27JXZNAD6KHB&lid=LSTACCH27JXZNAD6KHB100M5K&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_31&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCH27JXZNAD6KHB.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
32,"Intex IT-KB331 / Full-Size, RGB Lighting, Membrane Wire...",499,flipkart.com/intex-it-kb331-full-size-rgb-lighting-membrane-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-multimedia-keys/p/itm57c4999541db0?pid=ACCGMGVFZGDKXJEZ&lid=LSTACCGMGVFZGDKXJEZXF0H9X&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_32&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCGMGVFZGDKXJEZ.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
33,"Kreo Hive RGB Gaming Mechanical Keyboard, RGB Keyboards...",2899,flipkart.com/kreo-hive-rgb-gaming-mechanical-keyboard-keyboards-braided-cable-led-keyboard-wired-usb-tenkeyless-compatible-desktop-laptop-mac/p/itm1c2188a108bde?pid=ACCGVFRKHYP6JGPV&lid=LSTACCGVFRKHYP6JGPVDSFOKZ&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_33&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCGVFRKHYP6JGPV.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
34,ZEBRONICS War-K Wired USB Standard Gaming Keyboard Comp...,849,flipkart.com/zebronics-war-k-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-104-keys-multi-color-led-1-8m-braided-cable-anti-ghosting-19-keys/p/itm5bdd9f59ca406?pid=ACCH9GTUJQG57ZYD&lid=LSTACCH9GTUJQG57ZYDZKXLPT&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_34&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCH9GTUJQG57ZYD.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
35,Ant Esports MK1450 Pro / Backlit Membrane with Mixed Co...,699,flipkart.com/ant-esports-mk1450-pro-backlit-membrane-mixed-color-lighting-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-mode-multimedia-keys-ant-membran-colour-lighting-black/p/itm01831775ae5c0?pid=ACCGQHFHNFGBYCGT&lid=LSTACCGQHFHNFGBYCGTOOZTP4&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_35&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCGQHFHNFGBYCGT.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
36,ZEBRONICS Zeb-Max V2 Wired USB Standard Gaming Keyboard...,2349,flipkart.com/zebronics-zeb-max-v2-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-mode-multimedia-keys-zeb-max/p/itma1e27e7b57000?pid=ACCFZWKF7SZWUJ3C&lid=LSTACCFZWKF7SZWUJ3CULDWKT&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_36&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCFZWKF7SZWUJ3C.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
37,ZEBRONICS ?ZEB-WAR-K (White) Wired USB Laptop-size Gami...,1022,flipkart.com/zebronics-zeb-war-k-white-wired-usb-laptop-size-gaming-keyboard-compatible-desktop-laptop-mac-mode-stand-support-multimedia-keys-war-k-white/p/itm5bdd9f59ca406?pid=ACCH3GYGY5MJUSRT&lid=LSTACCH3GYGY5MJUSRT6GROMC&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_37&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCH3GYGY5MJUSRT.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
38,Aula S2022 Mechanical Wired USB Standard Gaming Keyboar...,1399,flipkart.com/aula-s2022-mechanical-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-stand-support/p/itmd63c80c217762?pid=ACCGM5NUAZXZBPYU&lid=LSTACCGM5NUAZXZBPYUHMIAEZ&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_38&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCGM5NUAZXZBPYU.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
39,"Kreo Hive RGB Gaming Mechanical Keyboard, RGB Keyboards...",2899,flipkart.com/kreo-hive-rgb-gaming-mechanical-keyboard-keyboards-braided-cable-led-keyboard-wired-usb-tenkeyless-compatible-desktop-laptop-mac/p/itm1c2188a108bde?pid=ACCGV2HFTGB7HEH6&lid=LSTACCGV2HFTGB7HEH6N2FZO1&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_39&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCGV2HFTGB7HEH6.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
